--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 1.4 GB, received: 1.4 GB, requests: 14300, responses: 14198 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.676018ms
[Conn 2] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682058ms
[Conn 3] sent: 1.4 GB, received: 1.4 GB, requests: 14279, responses: 14176 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683728ms
[Conn 4] sent: 1.4 GB, received: 1.4 GB, requests: 14278, responses: 14175 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683808ms
[Conn 5] sent: 1.4 GB, received: 1.4 GB, requests: 14284, responses: 14181 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683055ms
[Conn 6] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682132ms
[Conn 7] sent: 1.4 GB, received: 1.4 GB, requests: 14272, responses: 14169 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685014ms
[Conn 8] sent: 1.4 GB, received: 1.4 GB, requests: 14264, responses: 14161 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687445ms
[Conn 9] sent: 1.4 GB, received: 1.4 GB, requests: 14278, responses: 14175 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683828ms
[Conn 10] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684665ms
[Conn 11] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14169 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.679731ms
