--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 1.0 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036877ms
[Conn 2] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036859ms
[Conn 3] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027326ms
[Conn 4] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046337ms
[Conn 5] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046259ms
[Conn 6] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046363ms
[Conn 7] sent: 4.5 MB, received: 4.5 MB, requests: 4382, responses: 4381 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.008763ms
[Conn 8] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046064ms
[Conn 9] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018337ms
[Conn 10] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046254ms
[Conn 11] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036503ms
[Conn 12] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037188ms
[Conn 13] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046121ms
[Conn 14] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036967ms
[Conn 15] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037043ms
[Conn 16] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037323ms
[Conn 17] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028107ms
[Conn 18] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036897ms
[Conn 19] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027748ms
[Conn 20] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028266ms
[Conn 21] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.045891ms
[Conn 22] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046134ms
[Conn 23] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046279ms
[Conn 24] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027565ms
[Conn 25] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037904ms
[Conn 26] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046387ms
[Conn 27] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037352ms
[Conn 28] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046282ms
[Conn 29] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027821ms
[Conn 30] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037467ms
[Conn 31] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.02776ms
[Conn 32] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.019313ms
[Conn 33] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028282ms
[Conn 34] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037246ms
[Conn 35] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027151ms
[Conn 36] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036933ms
[Conn 37] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.038066ms
[Conn 38] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018138ms
[Conn 39] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046129ms
[Conn 40] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046419ms
[Conn 41] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037877ms
[Conn 42] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.03739ms
[Conn 43] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046283ms
[Conn 44] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037506ms
[Conn 45] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037148ms
[Conn 46] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037268ms
[Conn 47] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.04592ms
[Conn 48] sent: 4.5 MB, received: 4.5 MB, requests: 4382, responses: 4381 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.009571ms
[Conn 49] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.038011ms
[Conn 50] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036926ms
[Conn 51] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046359ms
[Conn 52] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046118ms
[Conn 53] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046419ms
[Conn 54] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.03809ms
[Conn 55] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.02851ms
[Conn 56] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046311ms
[Conn 57] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037396ms
[Conn 58] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046248ms
[Conn 59] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027752ms
[Conn 60] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037505ms
[Conn 61] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037275ms
[Conn 62] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036576ms
[Conn 63] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046326ms
[Conn 64] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.038071ms
[Conn 65] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018199ms
[Conn 66] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.03706ms
[Conn 67] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046157ms
[Conn 68] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037629ms
[Conn 69] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028743ms
[Conn 70] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.019198ms
[Conn 71] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027498ms
[Conn 72] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037159ms
[Conn 73] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028013ms
[Conn 74] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018722ms
[Conn 75] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.017815ms
[Conn 76] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036888ms
[Conn 77] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027899ms
[Conn 78] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.038089ms
[Conn 79] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046181ms
[Conn 80] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046368ms
