--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 1.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436468ms
[Conn 2] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436481ms
[Conn 3] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436493ms
[Conn 4] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 5] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43648ms
[Conn 6] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436473ms
[Conn 7] sent: 128.2 MB, received: 128.2 MB, requests: 125225, responses: 125224 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.437374ms
[Conn 8] sent: 128.2 MB, received: 128.2 MB, requests: 125197, responses: 125196 sent/sec: 712.2 kB recv/sec 712.2 kB req/sec: 695 res/sec 695 avg-res-time: 1.436497ms
[Conn 9] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 10] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436491ms
[Conn 11] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43648ms
[Conn 12] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436491ms
[Conn 13] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 14] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43648ms
[Conn 15] sent: 128.2 MB, received: 128.2 MB, requests: 125197, responses: 125196 sent/sec: 712.2 kB recv/sec 712.2 kB req/sec: 695 res/sec 695 avg-res-time: 1.436496ms
[Conn 16] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436486ms
[Conn 17] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436483ms
[Conn 18] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436483ms
[Conn 19] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436468ms
[Conn 20] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 21] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436466ms
[Conn 22] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436474ms
[Conn 23] sent: 128.2 MB, received: 128.2 MB, requests: 125195, responses: 125194 sent/sec: 712.2 kB recv/sec 712.2 kB req/sec: 695 res/sec 695 avg-res-time: 1.436526ms
[Conn 24] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 25] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436481ms
[Conn 26] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436493ms
[Conn 27] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436493ms
[Conn 28] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 29] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 30] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436476ms
[Conn 31] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 32] sent: 128.2 MB, received: 128.2 MB, requests: 125195, responses: 125194 sent/sec: 712.2 kB recv/sec 712.2 kB req/sec: 695 res/sec 695 avg-res-time: 1.436522ms
[Conn 33] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 34] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 35] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436485ms
[Conn 36] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 37] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436481ms
