--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 32.8 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172028ms
[Conn 2] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172025ms
[Conn 3] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172027ms
[Conn 4] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172091ms
[Conn 5] sent: 642.7 MB, received: 642.7 MB, requests: 19614, responses: 19613 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171615ms
[Conn 6] sent: 642.7 MB, received: 642.7 MB, requests: 19614, responses: 19613 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171568ms
[Conn 7] sent: 642.7 MB, received: 642.7 MB, requests: 19614, responses: 19613 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171584ms
[Conn 8] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172046ms
[Conn 9] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172081ms
[Conn 10] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172047ms
[Conn 11] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.17205ms
[Conn 12] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.17207ms
[Conn 13] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172099ms
[Conn 14] sent: 643.2 MB, received: 643.1 MB, requests: 19628, responses: 19627 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 109 res/sec 109 avg-res-time: 9.170712ms
[Conn 15] sent: 642.7 MB, received: 642.7 MB, requests: 19615, responses: 19614 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171083ms
[Conn 16] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172073ms
[Conn 17] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172045ms
[Conn 18] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172072ms
