--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 512 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744545ms
[Conn 2] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 3] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 4] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744533ms
[Conn 5] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744552ms
[Conn 6] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744556ms
[Conn 7] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744552ms
[Conn 8] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744556ms
[Conn 9] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 10] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 11] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 12] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 13] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 14] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 15] sent: 33.6 MB, received: 33.6 MB, requests: 65566, responses: 65565 sent/sec: 186.5 kB recv/sec 186.5 kB req/sec: 364 res/sec 364 avg-res-time: 2.745311ms
[Conn 16] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744554ms
[Conn 17] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 18] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 19] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744552ms
[Conn 20] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 21] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744554ms
[Conn 22] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74458ms
