--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 2] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 3] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 4] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 5] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 6] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 7] sent: 1.5 GB, received: 1.5 GB, requests: 15011, responses: 14922 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 8] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 9] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 10] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14922 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 11] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 12] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 13] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 14] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 15] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 16] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14922 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 17] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 18] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 19] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 20] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 21] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14925 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 22] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14922 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 23] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 24] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 25] sent: 1.5 GB, received: 1.5 GB, requests: 15029, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 26] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 27] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 28] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 29] sent: 1.5 GB, received: 1.5 GB, requests: 15029, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 30] sent: 1.5 GB, received: 1.5 GB, requests: 15011, responses: 14922 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 31] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 32] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 33] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 34] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 35] sent: 1.5 GB, received: 1.5 GB, requests: 15013, responses: 14922 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 36] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 37] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 38] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 39] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 40] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 41] sent: 1.5 GB, received: 1.5 GB, requests: 15019, responses: 14920 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 42] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 43] sent: 1.5 GB, received: 1.5 GB, requests: 15024, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 44] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 45] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
