--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 331.3 MB, received: 328.4 MB, requests: 1294225, responses: 1282833 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7190 res/sec 7126
[Conn 2] sent: 334.8 MB, received: 329.6 MB, requests: 1307906, responses: 1287441 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7266 res/sec 7152
[Conn 3] sent: 334.8 MB, received: 331.2 MB, requests: 1307799, responses: 1293943 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7265 res/sec 7188
[Conn 4] sent: 331.4 MB, received: 328.4 MB, requests: 1294359, responses: 1282967 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7190 res/sec 7127
[Conn 5] sent: 334.8 MB, received: 331.0 MB, requests: 1307669, responses: 1293045 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7183
[Conn 6] sent: 334.9 MB, received: 331.3 MB, requests: 1308183, responses: 1294199 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7267 res/sec 7189
[Conn 7] sent: 332.0 MB, received: 328.4 MB, requests: 1296785, responses: 1282673 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7204 res/sec 7125
[Conn 8] sent: 334.8 MB, received: 329.6 MB, requests: 1307649, responses: 1287413 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7152
[Conn 9] sent: 336.9 MB, received: 331.2 MB, requests: 1315833, responses: 1293937 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7310 res/sec 7188
[Conn 10] sent: 332.5 MB, received: 328.5 MB, requests: 1298956, responses: 1283308 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7216 res/sec 7129
[Conn 11] sent: 333.6 MB, received: 328.4 MB, requests: 1303126, responses: 1282673 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7239 res/sec 7125
[Conn 12] sent: 334.8 MB, received: 331.3 MB, requests: 1307800, responses: 1294200 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7265 res/sec 7190
[Conn 13] sent: 334.8 MB, received: 331.3 MB, requests: 1307671, responses: 1294071 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7189
[Conn 14] sent: 332.3 MB, received: 328.5 MB, requests: 1298059, responses: 1283179 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7211 res/sec 7128
[Conn 15] sent: 332.1 MB, received: 328.4 MB, requests: 1297429, responses: 1282677 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7207 res/sec 7125
[Conn 16] sent: 332.3 MB, received: 328.4 MB, requests: 1297937, responses: 1282705 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7210 res/sec 7126
[Conn 17] sent: 335.1 MB, received: 329.6 MB, requests: 1308801, responses: 1287345 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7271 res/sec 7151
[Conn 18] sent: 332.8 MB, received: 329.7 MB, requests: 1300116, responses: 1287796 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7222 res/sec 7154
[Conn 19] sent: 332.1 MB, received: 328.4 MB, requests: 1297175, responses: 1282935 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7206 res/sec 7127
[Conn 20] sent: 332.1 MB, received: 328.4 MB, requests: 1297169, responses: 1282673 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7206 res/sec 7125
[Conn 21] sent: 331.2 MB, received: 328.4 MB, requests: 1293846, responses: 1282806 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7188 res/sec 7126
[Conn 22] sent: 334.9 MB, received: 331.3 MB, requests: 1308183, responses: 1294199 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7267 res/sec 7189
[Conn 23] sent: 335.5 MB, received: 329.7 MB, requests: 1310460, responses: 1287764 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7280 res/sec 7154
[Conn 24] sent: 336.0 MB, received: 329.6 MB, requests: 1312633, responses: 1287317 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7292 res/sec 7151
[Conn 25] sent: 331.5 MB, received: 328.4 MB, requests: 1294993, responses: 1282833 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7194 res/sec 7126
[Conn 26] sent: 334.9 MB, received: 331.3 MB, requests: 1308182, responses: 1294198 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7267 res/sec 7189
[Conn 27] sent: 335.9 MB, received: 329.6 MB, requests: 1312121, responses: 1287572 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7289 res/sec 7153
[Conn 28] sent: 335.4 MB, received: 329.6 MB, requests: 1310208, responses: 1287474 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7278 res/sec 7152
[Conn 29] sent: 335.0 MB, received: 331.3 MB, requests: 1308566, responses: 1294198 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7269 res/sec 7189
[Conn 30] sent: 337.2 MB, received: 329.7 MB, requests: 1317094, responses: 1287700 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7317 res/sec 7153
[Conn 31] sent: 334.9 MB, received: 331.3 MB, requests: 1308053, responses: 1294069 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7266 res/sec 7189
[Conn 32] sent: 337.8 MB, received: 331.6 MB, requests: 1319544, responses: 1295507 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7330 res/sec 7197
[Conn 33] sent: 335.8 MB, received: 329.7 MB, requests: 1311615, responses: 1287857 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7286 res/sec 7154
[Conn 34] sent: 338.4 MB, received: 331.7 MB, requests: 1321788, responses: 1295700 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7343 res/sec 7198
[Conn 35] sent: 334.9 MB, received: 331.3 MB, requests: 1308307, responses: 1294067 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7268 res/sec 7189
[Conn 36] sent: 333.7 MB, received: 328.4 MB, requests: 1303321, responses: 1282673 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7240 res/sec 7125
[Conn 37] sent: 332.8 MB, received: 329.7 MB, requests: 1300113, responses: 1287793 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7222 res/sec 7154
[Conn 38] sent: 334.8 MB, received: 331.3 MB, requests: 1307666, responses: 1294066 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7189
[Conn 39] sent: 335.1 MB, received: 329.7 MB, requests: 1308928, responses: 1287925 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7271 res/sec 7155
[Conn 40] sent: 337.4 MB, received: 331.4 MB, requests: 1318137, responses: 1294356 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7322 res/sec 7190
[Conn 41] sent: 337.4 MB, received: 331.3 MB, requests: 1318007, responses: 1293969 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7322 res/sec 7188
[Conn 42] sent: 338.8 MB, received: 330.8 MB, requests: 1323507, responses: 1292049 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7352 res/sec 7178
[Conn 43] sent: 337.0 MB, received: 331.3 MB, requests: 1316474, responses: 1294033 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7313 res/sec 7189
[Conn 44] sent: 335.2 MB, received: 331.3 MB, requests: 1309460, responses: 1294324 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7274 res/sec 7190
[Conn 45] sent: 334.7 MB, received: 331.3 MB, requests: 1307537, responses: 1294065 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7189
[Conn 46] sent: 335.1 MB, received: 331.3 MB, requests: 1308817, responses: 1294065 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7271 res/sec 7189
[Conn 47] sent: 339.3 MB, received: 330.8 MB, requests: 1325222, responses: 1292017 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7362 res/sec 7177
[Conn 48] sent: 336.5 MB, received: 331.3 MB, requests: 1314299, responses: 1294323 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7301 res/sec 7190
[Conn 49] sent: 334.7 MB, received: 331.3 MB, requests: 1307537, responses: 1294065 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7189
[Conn 50] sent: 335.2 MB, received: 331.5 MB, requests: 1309457, responses: 1294833 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7274 res/sec 7193
[Conn 51] sent: 337.6 MB, received: 331.4 MB, requests: 1318903, responses: 1294609 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7327 res/sec 7192
[Conn 52] sent: 337.0 MB, received: 330.9 MB, requests: 1316473, responses: 1292753 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7313 res/sec 7181
[Conn 53] sent: 335.3 MB, received: 331.4 MB, requests: 1309585, responses: 1294449 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7275 res/sec 7191
[Conn 54] sent: 335.4 MB, received: 331.3 MB, requests: 1310225, responses: 1294065 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7279 res/sec 7189
[Conn 55] sent: 336.5 MB, received: 331.4 MB, requests: 1314553, responses: 1294705 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7303 res/sec 7192
[Conn 56] sent: 336.7 MB, received: 331.2 MB, requests: 1315266, responses: 1293873 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7307 res/sec 7188
[Conn 57] sent: 337.4 MB, received: 331.6 MB, requests: 1318134, responses: 1295185 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7322 res/sec 7195
[Conn 58] sent: 332.1 MB, received: 328.3 MB, requests: 1297169, responses: 1282545 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 7206 res/sec 7125
[Conn 59] sent: 337.8 MB, received: 331.3 MB, requests: 1319670, responses: 1294097 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7331 res/sec 7189
[Conn 60] sent: 336.6 MB, received: 331.0 MB, requests: 1314939, responses: 1292946 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7305 res/sec 7183
[Conn 61] sent: 334.6 MB, received: 331.7 MB, requests: 1307160, responses: 1295864 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7262 res/sec 7199
[Conn 62] sent: 337.1 MB, received: 331.4 MB, requests: 1316602, responses: 1294417 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7314 res/sec 7191
[Conn 63] sent: 334.9 MB, received: 331.5 MB, requests: 1308312, responses: 1295096 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7268 res/sec 7194
[Conn 64] sent: 337.1 MB, received: 331.2 MB, requests: 1316857, responses: 1293841 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7315 res/sec 7188
[Conn 65] sent: 337.8 MB, received: 331.5 MB, requests: 1319413, responses: 1295089 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7330 res/sec 7194
[Conn 66] sent: 337.0 MB, received: 331.4 MB, requests: 1316601, responses: 1294673 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7314 res/sec 7192
[Conn 67] sent: 337.7 MB, received: 331.3 MB, requests: 1319159, responses: 1294097 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7328 res/sec 7189
[Conn 68] sent: 333.2 MB, received: 328.4 MB, requests: 1301405, responses: 1282805 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7230 res/sec 7126
[Conn 69] sent: 334.9 MB, received: 331.0 MB, requests: 1308305, responses: 1292913 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7268 res/sec 7182
[Conn 70] sent: 334.6 MB, received: 331.7 MB, requests: 1307159, responses: 1295863 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7261 res/sec 7199
[Conn 71] sent: 336.5 MB, received: 331.3 MB, requests: 1314554, responses: 1294193 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7303 res/sec 7189
[Conn 72] sent: 334.7 MB, received: 331.5 MB, requests: 1307544, responses: 1295096 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7194
[Conn 73] sent: 338.0 MB, received: 331.2 MB, requests: 1320253, responses: 1293937 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7334 res/sec 7188
[Conn 74] sent: 336.5 MB, received: 331.5 MB, requests: 1314553, responses: 1295089 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7303 res/sec 7194
[Conn 75] sent: 337.8 MB, received: 331.8 MB, requests: 1319542, responses: 1296017 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7330 res/sec 7200
[Conn 76] sent: 337.4 MB, received: 331.3 MB, requests: 1317880, responses: 1294097 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7321 res/sec 7189
