--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 25.3 MB, received: 23.2 MB, requests: 98968, responses: 90450 sent/sec: 140.8 kB recv/sec 128.6 kB req/sec: 549 res/sec 502
[Conn 2] sent: 18.4 MB, received: 15.9 MB, requests: 71964, responses: 62156 sent/sec: 102.3 kB recv/sec 88.4 kB req/sec: 399 res/sec 345
[Conn 3] sent: 25.4 MB, received: 23.1 MB, requests: 99352, responses: 90198 sent/sec: 141.3 kB recv/sec 128.3 kB req/sec: 551 res/sec 501
[Conn 4] sent: 25.4 MB, received: 23.0 MB, requests: 99096, responses: 90017 sent/sec: 140.9 kB recv/sec 128.0 kB req/sec: 550 res/sec 500
[Conn 5] sent: 23.4 MB, received: 23.1 MB, requests: 91544, responses: 90356 sent/sec: 130.2 kB recv/sec 128.5 kB req/sec: 508 res/sec 501
[Conn 6] sent: 23.4 MB, received: 23.1 MB, requests: 91288, responses: 90356 sent/sec: 129.8 kB recv/sec 128.5 kB req/sec: 507 res/sec 501
[Conn 7] sent: 25.3 MB, received: 23.1 MB, requests: 98712, responses: 90267 sent/sec: 140.4 kB recv/sec 128.4 kB req/sec: 548 res/sec 501
[Conn 8] sent: 25.3 MB, received: 23.2 MB, requests: 98840, responses: 90485 sent/sec: 140.6 kB recv/sec 128.7 kB req/sec: 549 res/sec 502
[Conn 9] sent: 23.9 MB, received: 23.1 MB, requests: 93336, responses: 90362 sent/sec: 132.7 kB recv/sec 128.5 kB req/sec: 518 res/sec 502
[Conn 10] sent: 25.3 MB, received: 23.1 MB, requests: 98712, responses: 90113 sent/sec: 140.4 kB recv/sec 128.2 kB req/sec: 548 res/sec 500
[Conn 11] sent: 25.3 MB, received: 23.2 MB, requests: 98968, responses: 90466 sent/sec: 140.8 kB recv/sec 128.7 kB req/sec: 549 res/sec 502
