--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 32.8 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 796.7 MB, received: 788.2 MB, requests: 24313, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 2] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 3] sent: 796.6 MB, received: 788.2 MB, requests: 24309, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 4] sent: 796.1 MB, received: 788.2 MB, requests: 24296, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 5] sent: 796.2 MB, received: 787.7 MB, requests: 24297, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 6] sent: 796.6 MB, received: 788.2 MB, requests: 24309, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 7] sent: 796.6 MB, received: 788.2 MB, requests: 24311, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 8] sent: 795.5 MB, received: 787.7 MB, requests: 24276, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 9] sent: 796.1 MB, received: 788.2 MB, requests: 24294, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 10] sent: 796.5 MB, received: 788.2 MB, requests: 24308, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 11] sent: 796.1 MB, received: 787.7 MB, requests: 24296, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 12] sent: 796.0 MB, received: 788.2 MB, requests: 24292, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 13] sent: 795.6 MB, received: 787.7 MB, requests: 24280, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 14] sent: 795.7 MB, received: 787.7 MB, requests: 24282, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
