--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 2] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 3] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 4] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 5] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 6] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 7] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78160 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 8] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 9] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 10] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78160 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 11] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 12] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78160 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 13] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 14] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78150 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
[Conn 15] sent: 323.4 MB, received: 320.1 MB, requests: 78960, responses: 78158 sent/sec: 1.8 MB recv/sec 1.8 MB req/sec: 438 res/sec 434
