--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 23.6 MB, received: 23.5 MB, requests: 5751, responses: 5746 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 2] sent: 23.8 MB, received: 23.8 MB, requests: 5809, responses: 5804 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 3] sent: 23.6 MB, received: 23.6 MB, requests: 5772, responses: 5767 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 4] sent: 23.5 MB, received: 23.5 MB, requests: 5741, responses: 5736 sent/sec: 130.6 kB recv/sec 130.5 kB req/sec: 31 res/sec 31
[Conn 5] sent: 23.7 MB, received: 23.7 MB, requests: 5779, responses: 5775 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 6] sent: 23.6 MB, received: 23.6 MB, requests: 5757, responses: 5752 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 7] sent: 23.6 MB, received: 23.6 MB, requests: 5770, responses: 5765 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 8] sent: 23.6 MB, received: 23.6 MB, requests: 5764, responses: 5761 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 9] sent: 23.5 MB, received: 23.4 MB, requests: 5726, responses: 5721 sent/sec: 130.3 kB recv/sec 130.2 kB req/sec: 31 res/sec 31
[Conn 10] sent: 23.6 MB, received: 23.6 MB, requests: 5758, responses: 5754 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 11] sent: 23.7 MB, received: 23.7 MB, requests: 5781, responses: 5777 sent/sec: 131.5 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 12] sent: 23.7 MB, received: 23.7 MB, requests: 5785, responses: 5780 sent/sec: 131.6 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 13] sent: 23.8 MB, received: 23.8 MB, requests: 5809, responses: 5806 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 14] sent: 23.6 MB, received: 23.6 MB, requests: 5768, responses: 5764 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 15] sent: 23.6 MB, received: 23.6 MB, requests: 5770, responses: 5765 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 16] sent: 23.5 MB, received: 23.5 MB, requests: 5743, responses: 5738 sent/sec: 130.7 kB recv/sec 130.6 kB req/sec: 31 res/sec 31
[Conn 17] sent: 35.7 MB, received: 33.4 MB, requests: 8717, responses: 8147 sent/sec: 198.4 kB recv/sec 185.4 kB req/sec: 48 res/sec 45
[Conn 18] sent: 23.8 MB, received: 23.8 MB, requests: 5810, responses: 5805 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 19] sent: 23.8 MB, received: 23.8 MB, requests: 5821, responses: 5817 sent/sec: 132.5 kB recv/sec 132.4 kB req/sec: 32 res/sec 32
[Conn 20] sent: 23.6 MB, received: 23.6 MB, requests: 5772, responses: 5766 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 21] sent: 23.6 MB, received: 23.6 MB, requests: 5766, responses: 5762 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 22] sent: 23.7 MB, received: 23.7 MB, requests: 5794, responses: 5789 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 23] sent: 23.9 MB, received: 23.9 MB, requests: 5828, responses: 5823 sent/sec: 132.6 kB recv/sec 132.5 kB req/sec: 32 res/sec 32
[Conn 24] sent: 23.6 MB, received: 23.6 MB, requests: 5770, responses: 5765 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 25] sent: 23.5 MB, received: 23.5 MB, requests: 5747, responses: 5742 sent/sec: 130.8 kB recv/sec 130.7 kB req/sec: 31 res/sec 31
[Conn 26] sent: 23.7 MB, received: 23.7 MB, requests: 5798, responses: 5794 sent/sec: 131.9 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 27] sent: 23.6 MB, received: 23.6 MB, requests: 5756, responses: 5751 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 28] sent: 23.4 MB, received: 23.4 MB, requests: 5723, responses: 5718 sent/sec: 130.2 kB recv/sec 130.1 kB req/sec: 31 res/sec 31
[Conn 29] sent: 23.7 MB, received: 23.7 MB, requests: 5794, responses: 5790 sent/sec: 131.8 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 30] sent: 23.6 MB, received: 23.5 MB, requests: 5754, responses: 5749 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 31] sent: 23.6 MB, received: 23.6 MB, requests: 5771, responses: 5766 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 32] sent: 23.7 MB, received: 23.7 MB, requests: 5779, responses: 5776 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
