--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 512 B	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 761.4 MB, received: 757.6 MB, requests: 1487065, responses: 1479765 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8261 res/sec 8220
[Conn 2] sent: 762.0 MB, received: 757.9 MB, requests: 1488341, responses: 1480325 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8268 res/sec 8224
[Conn 3] sent: 763.5 MB, received: 757.9 MB, requests: 1491301, responses: 1480312 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8285 res/sec 8223
[Conn 4] sent: 763.5 MB, received: 757.9 MB, requests: 1491173, responses: 1480312 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8284 res/sec 8223
[Conn 5] sent: 763.8 MB, received: 758.0 MB, requests: 1491813, responses: 1480439 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8287 res/sec 8224
[Conn 6] sent: 763.4 MB, received: 757.9 MB, requests: 1490918, responses: 1480312 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8282 res/sec 8223
[Conn 7] sent: 761.0 MB, received: 758.1 MB, requests: 1486261, responses: 1480693 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8257 res/sec 8226
[Conn 8] sent: 764.3 MB, received: 758.0 MB, requests: 1492769, responses: 1480503 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8293 res/sec 8225
[Conn 9] sent: 764.3 MB, received: 757.9 MB, requests: 1492708, responses: 1480312 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8292 res/sec 8223
[Conn 10] sent: 763.8 MB, received: 758.1 MB, requests: 1491877, responses: 1480631 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8288 res/sec 8225
[Conn 11] sent: 760.9 MB, received: 758.0 MB, requests: 1486229, responses: 1480469 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8256 res/sec 8224
[Conn 12] sent: 761.7 MB, received: 758.0 MB, requests: 1487765, responses: 1480517 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8265 res/sec 8225
[Conn 13] sent: 763.7 MB, received: 757.9 MB, requests: 1491677, responses: 1480300 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8287 res/sec 8223
[Conn 14] sent: 760.9 MB, received: 758.0 MB, requests: 1486045, responses: 1480461 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8255 res/sec 8224
[Conn 15] sent: 764.7 MB, received: 757.9 MB, requests: 1493603, responses: 1480312 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8297 res/sec 8223
[Conn 16] sent: 764.6 MB, received: 758.1 MB, requests: 1493412, responses: 1480631 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8296 res/sec 8225
[Conn 17] sent: 763.7 MB, received: 758.1 MB, requests: 1491623, responses: 1480630 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8286 res/sec 8225
[Conn 18] sent: 763.9 MB, received: 757.9 MB, requests: 1491941, responses: 1480184 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8288 res/sec 8223
[Conn 19] sent: 763.8 MB, received: 758.0 MB, requests: 1491751, responses: 1480374 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8287 res/sec 8224
[Conn 20] sent: 764.3 MB, received: 758.0 MB, requests: 1492772, responses: 1480503 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8293 res/sec 8225
[Conn 21] sent: 762.0 MB, received: 758.0 MB, requests: 1488341, responses: 1480405 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8268 res/sec 8224
[Conn 22] sent: 761.8 MB, received: 757.9 MB, requests: 1487979, responses: 1480347 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8266 res/sec 8224
[Conn 23] sent: 763.7 MB, received: 758.1 MB, requests: 1491621, responses: 1480631 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8286 res/sec 8225
[Conn 24] sent: 764.7 MB, received: 758.0 MB, requests: 1493476, responses: 1480440 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8297 res/sec 8224
[Conn 25] sent: 761.1 MB, received: 757.6 MB, requests: 1486483, responses: 1479635 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8258 res/sec 8220
[Conn 26] sent: 762.1 MB, received: 758.0 MB, requests: 1488533, responses: 1480517 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8269 res/sec 8225
[Conn 27] sent: 761.9 MB, received: 757.9 MB, requests: 1488021, responses: 1480325 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8266 res/sec 8224
[Conn 28] sent: 764.2 MB, received: 758.1 MB, requests: 1492516, responses: 1480631 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8291 res/sec 8225
[Conn 29] sent: 763.7 MB, received: 758.1 MB, requests: 1491621, responses: 1480632 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8286 res/sec 8225
[Conn 30] sent: 764.6 MB, received: 758.1 MB, requests: 1493284, responses: 1480632 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8296 res/sec 8225
[Conn 31] sent: 763.2 MB, received: 757.6 MB, requests: 1490533, responses: 1479672 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8280 res/sec 8220
[Conn 32] sent: 764.2 MB, received: 758.0 MB, requests: 1492580, responses: 1480440 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8292 res/sec 8224
[Conn 33] sent: 764.7 MB, received: 758.2 MB, requests: 1493476, responses: 1480823 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8297 res/sec 8226
[Conn 34] sent: 764.3 MB, received: 758.0 MB, requests: 1492836, responses: 1480440 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8293 res/sec 8224
[Conn 35] sent: 762.2 MB, received: 758.2 MB, requests: 1488661, responses: 1480789 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8270 res/sec 8226
[Conn 36] sent: 760.9 MB, received: 758.0 MB, requests: 1486037, responses: 1480517 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8255 res/sec 8225
[Conn 37] sent: 762.2 MB, received: 758.2 MB, requests: 1488661, responses: 1480773 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8270 res/sec 8226
[Conn 38] sent: 764.1 MB, received: 758.1 MB, requests: 1492325, responses: 1480696 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8290 res/sec 8226
[Conn 39] sent: 764.7 MB, received: 758.0 MB, requests: 1493540, responses: 1480375 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8297 res/sec 8224
